RUC|NOMBRE_DE_ENTIDAD|DEPARTAMENTO|PROVINCIA|DISTRITO|CODIGO_SIAF|CODCONSUCODE|ESTADO|ULTIMAACTUALIZACION
20491321661|GOBIERNO REGIONAL DE LIMA-UNIDAD EJECUTORA LIMA SUR|LIMA|CAÑETE|SAN VICENTE DE CAÑETE|1325|200339|Activo|17/07/13
20408454370|GOBIERNO REGIONAL DE LORETO - GERENCIA REGIONAL DE EDUCACION DE LORETO|LORETO|MAYNAS|IQUITOS|867|10527|Activo|20/06/22
20408560137|GOBIERNO REGIONAL DE LORETO - GERENCIA SUB REGIONAL ALTO AMAZONAS YURIMAGUAS|LORETO|ALTO AMAZONAS|YURIMAGUAS|863|10523|Activo|17/07/13
20450860621|GOBIERNO REGIONAL DE LORETO - GERENCIA SUB REGIONAL DE UCAYALI - CONTAMANA|LORETO|UCAYALI|CONTAMANA|864|10524|Activo|17/07/13
20493998472|GOBIERNO REGIONAL DE LORETO - HOSPITAL DE APOYO SANTA GEMA DE YURIMAGUAS|LORETO|ALTO AMAZONAS|YURIMAGUAS|1407|200395|Activo|17/07/13
20528134760|GOBIERNO REGIONAL DE LORETO - ORGANISMO PUBLICO INFRAESTRUCTURA PARA LA PRODUCTIVIDAD|LORETO|MAYNAS|IQUITOS|1326|200277|Activo|17/07/13
20528442154|GOBIERNO REGIONAL DE LORETO - RED DE SALUD DATEM DEL MARAÑON|LORETO|DATEM DEL MARAÑON|PASTAZA|1391|200388|Activo|17/07/13
20604726019|GOBIERNO REGIONAL DE LORETO - RED DE SALUD LORETO - NAUTA|LORETO|LORETO|NAUTA|1714|204428|Activo|12/08/19
20493305370|GOBIERNO REGIONAL DE LORETO - UGEL - REQUENA|LORETO|REQUENA|REQUENA|1178|200132|Activo|17/07/13
20408727449|GOBIERNO REGIONAL DE LORETO - UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE ALTO AMAZONAS|LORETO|ALTO AMAZONAS|YURIMAGUAS|868|10528|Activo|19/11/15
20493304055|GOBIERNO REGIONAL DE LORETO - UNIDAD EJECUTORA 305 EDUCACION NAUTA|LORETO|LORETO|NAUTA|1179|200133|Activo|17/07/13
20450241564|GOBIERNO REGIONAL DE LORETO- RED DE SALUD ALTO AMAZONAS YURIMAGUAS|LORETO|ALTO AMAZONAS|YURIMAGUAS|871|10531|Activo|17/07/13
20493196902|GOBIERNO REGIONAL DE LORETO SEDE CENTRAL|LORETO|MAYNAS|IQUITOS|0861|44|Activo|17/07/13
20601938058|GOBIERNO REGIONAL DE LORETO UNIDAD EJECUTORA SALUD UCAYALI - CONTAMANA|LORETO|UCAYALI|CONTAMANA|1672|203867|Activo|19/10/18
20408454531|GOBIERNO REGIONAL DE LORETO-AGRICULTURA|LORETO|MAYNAS|IQUITOS|865|10525|Activo|22/12/15
20493197461|GOBIERNO REGIONAL DE LORETO-EDUCACIÓN MARISCAL RAMÓN CASTILLA|LORETO|MARISCAL RAMON CASTILLA|RAMON CASTILLA|1125|200066|Activo|11/11/15
20450940811|GOBIERNO REGIONAL DE LORETO-EDUCACION UCAYALI-CONTAMANA LORETO|LORETO|UCAYALI|CONTAMANA|869|10529|Activo|17/07/13
20408453560|GOBIERNO REGIONAL DE LORETO-SALUD HOSPITAL DE APOYO IQUITOS|LORETO|MAYNAS|IQUITOS|872|10532|Activo|17/07/13
20408453489|GOBIERNO REGIONAL DE LORETO-SALUD HOSPITAL REGIONAL DE LORETO|LORETO|MAYNAS|IQUITOS|874|10533|Activo|17/07/13
20408454299|GOBIERNO REGIONAL DE LORETO-SALUD LORETO Y PERIFERICOS|LORETO|MAYNAS|IQUITOS|870|10530|Activo|17/07/13
20408632146|GOBIERNO REGIONAL DE LORETO-TRANSPORTES|LORETO|MAYNAS|IQUITOS|866|10526|Activo|17/07/13
20528292918|GOBIERNO REGIONAL DE LORETO-UNIDAD DE GESTION EDUCATIVA LOCAL DATEM DEL MARAÑON|LORETO|DATEM DEL MARAÑON|BARRANCA|1248|200348|Activo|28/09/15
20170258054|GOBIERNO REGIONAL DE MADRE DE DIOS - DIRECCION REGIONAL DE SALUD MADRE DE DIOS|MADRE DE DIOS|TAMBOPATA|TAMBOPATA|879|10538|Activo|17/07/13
20350526073|GOBIERNO REGIONAL DE MADRE DE DIOS - HOSPITAL SANTA ROSA DE PUERTO MALDONADO|MADRE DE DIOS|TAMBOPATA|TAMBOPATA|1003|10048|Activo|17/07/13
20170258305|GOBIERNO REGIONAL DE MADRE DE DIOS - PROYECTO ESPECIAL MADRE DE DIOS|MADRE DE DIOS|TAHUAMANU|IBERIA|1294|10358|Activo|23/12/15
